method,bits,seed,bytes_per_vector,index_bytes,compress_seconds,query_latency_ms
qjl,1,0,68.0,2108952,0.04373849998228252,0.2373547898605466
qjl,1,1,68.0,2108952,0.04142558295279741,0.2274458308238536
qjl,1,2,68.0,2108952,0.045365875121206045,0.24725208524614573
qjl,1,3,68.0,2108952,0.04399454197846353,0.23960229475051165
qjl,1,4,68.0,2108952,0.043046334059908986,0.22467312519438565
qjl,2,0,132.0,4093848,0.058530667098239064,0.4080349998548627
qjl,2,1,132.0,4093848,0.05905862501822412,0.43018874945119023
qjl,2,2,132.0,4093848,0.059649999951943755,0.4199366655666381
qjl,2,3,132.0,4093848,0.059484542114660144,0.4326962505001575
qjl,2,4,132.0,4093848,0.061009209137409925,0.4311529197730124
qjl,3,0,196.0,6078744,0.08147908304817975,0.680776460794732
qjl,3,1,196.0,6078744,0.08128041704185307,0.6508908304385841
qjl,3,2,196.0,6078744,0.08188741700723767,0.6548456253949553
qjl,3,3,196.0,6078744,0.07798137492500246,0.635310000507161
qjl,3,4,196.0,6078744,0.07826033281162381,0.6396064592991024
qjl,4,0,260.0,8063640,0.09801662503741682,0.844637710833922
qjl,4,1,260.0,8063640,0.09287600009702146,0.746132085332647
qjl,4,2,260.0,8063640,0.09323254181072116,0.7652702101040632
qjl,4,3,260.0,8063640,0.09382358402945101,0.7328237500041723
qjl,4,4,260.0,8063640,0.09127074992284179,0.780717710731551
qjl,8,0,516.0,16003224,0.18116283416748047,1.4439910452347249
qjl,8,1,516.0,16003224,0.1804720419459045,1.4274995843879879
qjl,8,2,516.0,16003224,0.1800534171052277,1.4301325008273125
qjl,8,3,516.0,16003224,0.17958900006487966,1.4221504156012088
qjl,8,4,516.0,16003224,0.18012224999256432,1.4235420839395374
polarquant,1,0,67.875,15972210,0.4645207088906318,0.6484752101823688
polarquant,1,1,67.875,15972210,0.4750414160080254,0.6722558347973973
polarquant,1,2,67.875,15972210,0.4724972499534488,0.6448931246995926
polarquant,1,3,67.875,15972210,0.4924059589393437,0.656312289647758
polarquant,1,4,67.875,15972210,0.46659483411349356,0.6671047897543758
polarquant,2,0,131.75,15972210,0.6187445828691125,0.6945637497119606
polarquant,2,1,131.75,15972210,0.6130889588966966,0.6674172903876752
polarquant,2,2,131.75,15972210,0.6157922919373959,0.6545841647312045
polarquant,2,3,131.75,15972210,0.6291685830801725,0.66181187517941
polarquant,2,4,131.75,15972210,0.6150045827962458,0.6488689593970776
polarquant,3,0,195.625,15972210,0.8342209588736296,0.6762616650667042
polarquant,3,1,195.625,15972210,0.8131486668717116,0.6742835405748338
polarquant,3,2,195.625,15972210,0.7956311670131981,0.6760566646698862
polarquant,3,3,195.625,15972210,0.8729327078908682,0.6717087503056973
polarquant,3,4,195.625,15972210,0.8687249168287963,0.6719606241676956
polarquant,4,0,259.5,15972210,0.7257762078661472,0.6861935451161116
polarquant,4,1,259.5,15972210,0.7233162079937756,0.6783718743827194
polarquant,4,2,259.5,15972210,0.7269491248298436,0.679241040488705
polarquant,4,3,259.5,15972210,0.7669238329399377,0.6706512498203665
polarquant,4,4,259.5,15972210,0.7271246248856187,0.6732318748254329
turboquant,1,0,68.0,17988120,0.20635579177178442,0.536066455533728
turboquant,1,1,68.0,17988120,0.19969083415344357,0.5211524991318583
turboquant,1,2,68.0,17988120,0.1962987082079053,0.5187314550857991
turboquant,1,3,68.0,17988120,0.21316924993880093,0.5310022900812328
turboquant,1,4,68.0,17988120,0.20239662495441735,0.544100624974817
turboquant,2,0,132.0,17988120,0.3466880419291556,0.5419839592650533
turboquant,2,1,132.0,17988120,0.3500689580105245,0.5383200000505894
turboquant,2,2,132.0,17988120,0.3608453751076013,0.5479956255294383
turboquant,2,3,132.0,17988120,0.3514237920753658,0.5349366657901555
turboquant,2,4,132.0,17988120,0.35007983399555087,0.5214120796881616
turboquant,3,0,196.0,17988120,0.4900834171567112,0.5207618756685406
turboquant,3,1,196.0,17988120,0.4957831250503659,0.5447910400107503
turboquant,3,2,196.0,17988120,0.48913024994544685,0.5133018747437745
turboquant,3,3,196.0,17988120,0.48937033279798925,0.529257709858939
turboquant,3,4,196.0,17988120,0.494547416921705,0.5637766700237989
turboquant,4,0,260.0,17988120,0.7073425829876214,0.5157679156400263
turboquant,4,1,260.0,17988120,0.6946031670086086,0.5121018749196082
turboquant,4,2,260.0,17988120,0.7020378329325467,0.5181093758437783
turboquant,4,3,260.0,17988120,0.713161916937679,0.5372495856136084
turboquant,4,4,260.0,17988120,0.7071584998629987,0.5356283346191049
faiss_pq,1,0,64.0,1984896,2.353330417070538,0.09757624939084053
faiss_pq,1,1,64.0,1984896,2.35522758285515,0.09473229525610805
faiss_pq,1,2,64.0,1984896,2.372379166074097,0.091551459627226
faiss_pq,1,3,64.0,1984896,2.3597133338917047,0.09398104040883482
faiss_pq,1,4,64.0,1984896,2.3568514578510076,0.09357979521155357
faiss_pq,2,0,128.0,3969792,3.3917692080140114,0.12453978997655213
faiss_pq,2,1,128.0,3969792,3.4522874169051647,0.1141624990850687
faiss_pq,2,2,128.0,3969792,3.3866785829886794,0.11395333451218903
faiss_pq,2,3,128.0,3969792,3.4296028329990804,0.10952395503409207
faiss_pq,2,4,128.0,3969792,3.3970914999954402,0.12184999999590218
faiss_pq,4,0,256.0,7939584,5.818363500060514,0.14808916486799717
faiss_pq,4,1,256.0,7939584,5.481141458032653,0.14458229066804051
faiss_pq,4,2,256.0,7939584,5.497734166914597,0.1443718746304512
faiss_pq,4,3,256.0,7939584,5.936589416116476,0.15489520970731974
faiss_pq,4,4,256.0,7939584,5.647182499989867,0.14104750007390976
faiss_pq,8,0,512.0,15879168,8.022063957992941,0.36857625003904104
faiss_pq,8,1,512.0,15879168,7.975202834000811,0.34624812426045537
faiss_pq,8,2,512.0,15879168,8.221643416909501,0.3480591648258269
faiss_pq,8,3,512.0,15879168,7.959902124945074,0.34669604036025703
faiss_pq,8,4,512.0,15879168,8.057162791956216,0.37262145546264946
uncompressed,32,0,2048.0,63516672,8.958159014582634e-06,0.03207187517546117
uncompressed,32,1,2048.0,63516672,4.334142431616783e-06,0.03198854508809745
uncompressed,32,2,2048.0,63516672,4.292000085115433e-06,0.03176853992044926
uncompressed,32,3,2048.0,63516672,4.416797310113907e-06,0.03199666505679488
uncompressed,32,4,2048.0,63516672,3.6668498069047928e-06,0.03318500006571412
