method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
uncompressed,32,0,T1_text2image,0.203,0.408,0.505,1000
uncompressed,32,0,T2_image2text,0.411,0.65,0.739,1000
uncompressed,32,0,T3_text2text,0.3,0.482,0.545,1000
uncompressed,32,0,T4_image2image,1.0,1.0,1.0,1000
uncompressed,32,0,T1_text2image,0.203,0.408,0.505,1000
uncompressed,32,0,T2_image2text,0.411,0.65,0.739,1000
uncompressed,32,0,T3_text2text,0.3,0.482,0.545,1000
uncompressed,32,0,T4_image2image,1.0,1.0,1.0,1000
turboquant,2,0,T1_text2image,0.04,0.109,0.157,1000
turboquant,2,0,T2_image2text,0.067,0.177,0.267,1000
turboquant,2,0,T3_text2text,0.273,0.435,0.494,1000
turboquant,2,0,T4_image2image,0.42,0.756,0.866,1000
turboquant,2,1,T1_text2image,0.045,0.118,0.151,1000
turboquant,2,1,T2_image2text,0.078,0.189,0.26,1000
turboquant,2,1,T3_text2text,0.243,0.412,0.477,1000
turboquant,2,1,T4_image2image,0.429,0.77,0.865,1000
turboquant,2,2,T1_text2image,0.039,0.106,0.15,1000
turboquant,2,2,T2_image2text,0.077,0.195,0.266,1000
turboquant,2,2,T3_text2text,0.252,0.412,0.494,1000
turboquant,2,2,T4_image2image,0.428,0.779,0.885,1000
turboquant,2,3,T1_text2image,0.055,0.144,0.182,1000
turboquant,2,3,T2_image2text,0.104,0.225,0.316,1000
turboquant,2,3,T3_text2text,0.263,0.436,0.507,1000
turboquant,2,3,T4_image2image,0.433,0.763,0.866,1000
turboquant,2,4,T1_text2image,0.036,0.112,0.168,1000
turboquant,2,4,T2_image2text,0.074,0.188,0.247,1000
turboquant,2,4,T3_text2text,0.24,0.402,0.472,1000
turboquant,2,4,T4_image2image,0.366,0.748,0.867,1000
turboquant,3,0,T1_text2image,0.115,0.271,0.344,1000
turboquant,3,0,T2_image2text,0.236,0.468,0.563,1000
turboquant,3,0,T3_text2text,0.29,0.461,0.53,1000
turboquant,3,0,T4_image2image,0.637,0.948,0.989,1000
turboquant,3,1,T1_text2image,0.118,0.265,0.339,1000
turboquant,3,1,T2_image2text,0.227,0.442,0.547,1000
turboquant,3,1,T3_text2text,0.271,0.435,0.505,1000
turboquant,3,1,T4_image2image,0.664,0.95,0.989,1000
turboquant,3,2,T1_text2image,0.123,0.265,0.354,1000
turboquant,3,2,T2_image2text,0.254,0.455,0.534,1000
turboquant,3,2,T3_text2text,0.276,0.443,0.51,1000
turboquant,3,2,T4_image2image,0.66,0.946,0.994,1000
turboquant,3,3,T1_text2image,0.138,0.293,0.373,1000
turboquant,3,3,T2_image2text,0.246,0.481,0.577,1000
turboquant,3,3,T3_text2text,0.281,0.45,0.534,1000
turboquant,3,3,T4_image2image,0.656,0.949,0.987,1000
turboquant,3,4,T1_text2image,0.144,0.293,0.379,1000
turboquant,3,4,T2_image2text,0.253,0.49,0.592,1000
turboquant,3,4,T3_text2text,0.271,0.423,0.511,1000
turboquant,3,4,T4_image2image,0.648,0.946,0.985,1000
turboquant,4,0,T1_text2image,0.185,0.349,0.449,1000
turboquant,4,0,T2_image2text,0.341,0.576,0.675,1000
turboquant,4,0,T3_text2text,0.302,0.469,0.545,1000
turboquant,4,0,T4_image2image,0.767,0.989,1.0,1000
turboquant,4,1,T1_text2image,0.175,0.363,0.447,1000
turboquant,4,1,T2_image2text,0.333,0.579,0.679,1000
turboquant,4,1,T3_text2text,0.284,0.439,0.523,1000
turboquant,4,1,T4_image2image,0.808,0.995,1.0,1000
turboquant,4,2,T1_text2image,0.171,0.351,0.432,1000
turboquant,4,2,T2_image2text,0.34,0.584,0.681,1000
turboquant,4,2,T3_text2text,0.285,0.442,0.53,1000
turboquant,4,2,T4_image2image,0.795,0.994,1.0,1000
turboquant,4,3,T1_text2image,0.215,0.382,0.47,1000
turboquant,4,3,T2_image2text,0.38,0.622,0.719,1000
turboquant,4,3,T3_text2text,0.29,0.456,0.535,1000
turboquant,4,3,T4_image2image,0.803,0.991,1.0,1000
turboquant,4,4,T1_text2image,0.188,0.4,0.478,1000
turboquant,4,4,T2_image2text,0.376,0.6,0.693,1000
turboquant,4,4,T3_text2text,0.281,0.431,0.506,1000
turboquant,4,4,T4_image2image,0.798,0.994,1.0,1000
qjl,2,0,T1_text2image,0.074,0.174,0.232,1000
qjl,2,0,T2_image2text,0.118,0.286,0.375,1000
qjl,2,0,T3_text2text,0.281,0.458,0.525,1000
qjl,2,0,T4_image2image,0.472,0.827,0.914,1000
qjl,2,1,T1_text2image,0.082,0.161,0.225,1000
qjl,2,1,T2_image2text,0.146,0.323,0.414,1000
qjl,2,1,T3_text2text,0.259,0.425,0.493,1000
qjl,2,1,T4_image2image,0.479,0.822,0.913,1000
