method,bits,seed,bytes_per_vector,index_bytes,compress_seconds,query_latency_ms
uncompressed,32,0,2048.0,63516672,1.1041003745049238e-05,0.2498839600593783
uncompressed,32,0,2048.0,63516672,8.582952432334423e-06,0.18146833492210135
turboquant,2,0,135.875,33929340,1.1111935829976574,1.138364374928642
turboquant,2,1,135.875,33929340,0.9342380829621106,0.9197620849590749
turboquant,2,2,135.875,33929340,1.0965793330105953,1.3218562499969266
turboquant,2,3,135.875,33929340,1.0089613340096548,0.9647166650393046
turboquant,2,4,135.875,33929340,0.8766949169803411,0.8511212500161491
turboquant,3,0,199.75,33929340,1.0887402080115862,1.1545441701309755
turboquant,3,1,199.75,33929340,1.176393250003457,0.9242339548654854
turboquant,3,2,199.75,33929340,1.0442739160498604,0.9109447899390943
turboquant,3,3,199.75,33929340,1.067697542021051,1.0037014598492533
turboquant,3,4,199.75,33929340,1.0082154590054415,0.9018322901101783
turboquant,4,0,263.625,33929340,1.2913576669525355,0.956860420119483
turboquant,4,1,263.625,33929340,1.2731418330222368,1.3581939550931565
turboquant,4,2,263.625,33929340,1.2097163340076804,1.333592289884109
turboquant,4,3,263.625,33929340,1.3201140419696458,1.1537191650131717
turboquant,4,4,263.625,33929340,1.3094177089515142,1.0908829199615866
qjl,2,0,68.0,2108952,0.39876991603523493,0.249724164896179
qjl,2,1,68.0,2108952,0.3905612920061685,0.6639420852297917
qjl,2,2,68.0,2108952,0.38642729102866724,0.26493646000744775
qjl,2,3,68.0,2108952,0.3721434589824639,0.22518020501593128
qjl,2,4,68.0,2108952,0.40867550001712516,0.23382791521726176
qjl,3,0,68.0,2108952,0.42275179096031934,0.22919395996723324
qjl,3,1,68.0,2108952,0.3869802089757286,0.22267271007876843
qjl,3,2,68.0,2108952,0.39716637501260266,0.2222762501332909
qjl,3,3,68.0,2108952,0.4685872919508256,0.22315875015920028
qjl,3,4,68.0,2108952,0.5380606669932604,0.2241735448478721
qjl,4,0,68.0,2108952,0.5357550830231048,0.27538812486454844
qjl,4,1,68.0,2108952,0.5549343330203556,0.23859854001784697
qjl,4,2,68.0,2108952,0.43049287499161437,0.22796312492573634
qjl,4,3,68.0,2108952,0.4091151669854298,0.22788520494941622
qjl,4,4,68.0,2108952,0.3964621250052005,0.22381917020538822
polarquant,2,0,131.875,31820364,0.5871617919765413,0.8038185400073417
polarquant,2,1,131.875,31820364,0.6222283749957569,0.6492883351165801
polarquant,2,2,131.875,31820364,0.6180224170093425,0.7538616648525931
polarquant,2,3,131.875,31820364,0.643854999972973,0.659398544812575
polarquant,2,4,131.875,31820364,0.6593512499821372,0.8933091649669223
polarquant,3,0,195.75,31820364,0.6132767910021357,0.6897210399620235
polarquant,3,1,195.75,31820364,0.6530182500137016,0.6600585399428383
polarquant,3,2,195.75,31820364,0.642047667002771,0.6964991701534018
polarquant,3,3,195.75,31820364,0.7090414589620195,0.6854083298821934
polarquant,3,4,195.75,31820364,0.6531014579813927,0.6536558349034749
polarquant,4,0,259.625,31820364,0.8194047500146553,0.6782760398345999
polarquant,4,1,259.625,31820364,2.9044923749752343,2.128422084788326
polarquant,4,2,259.625,31820364,6.9472297499887645,1.8404872951214202
polarquant,4,3,259.625,31820364,5.615221208019648,4.453744374914095
polarquant,4,4,259.625,31820364,4.376695250044577,4.060770210053306
