method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
turboquant,2,0,T1_text2image,0.118,0.232,0.298,1000
turboquant,2,0,T2_image2text,0.207,0.404,0.52,1000
turboquant,2,0,T3_text2text,0.296,0.455,0.539,1000
turboquant,2,0,T4_image2image,0.585,0.927,0.975,1000
turboquant,2,1,T1_text2image,0.096,0.243,0.318,1000
turboquant,2,1,T2_image2text,0.192,0.394,0.502,1000
turboquant,2,1,T3_text2text,0.264,0.436,0.497,1000
turboquant,2,1,T4_image2image,0.611,0.932,0.978,1000
turboquant,2,2,T1_text2image,0.111,0.246,0.316,1000
turboquant,2,2,T2_image2text,0.213,0.408,0.5,1000
turboquant,2,2,T3_text2text,0.268,0.438,0.506,1000
turboquant,2,2,T4_image2image,0.625,0.925,0.98,1000
turboquant,2,3,T1_text2image,0.13,0.265,0.337,1000
turboquant,2,3,T2_image2text,0.215,0.436,0.555,1000
turboquant,2,3,T3_text2text,0.286,0.445,0.536,1000
turboquant,2,3,T4_image2image,0.603,0.925,0.972,1000
turboquant,2,4,T1_text2image,0.117,0.254,0.334,1000
turboquant,2,4,T2_image2text,0.218,0.435,0.547,1000
turboquant,2,4,T3_text2text,0.262,0.414,0.509,1000
turboquant,2,4,T4_image2image,0.6,0.927,0.974,1000
turboquant,3,0,T1_text2image,0.151,0.318,0.399,1000
turboquant,3,0,T2_image2text,0.274,0.501,0.601,1000
turboquant,3,0,T3_text2text,0.302,0.464,0.542,1000
turboquant,3,0,T4_image2image,0.706,0.977,0.993,1000
turboquant,3,1,T1_text2image,0.151,0.317,0.405,1000
turboquant,3,1,T2_image2text,0.271,0.512,0.633,1000
turboquant,3,1,T3_text2text,0.277,0.442,0.514,1000
turboquant,3,1,T4_image2image,0.712,0.982,0.997,1000
turboquant,3,2,T1_text2image,0.148,0.306,0.392,1000
turboquant,3,2,T2_image2text,0.289,0.501,0.616,1000
turboquant,3,2,T3_text2text,0.277,0.437,0.505,1000
turboquant,3,2,T4_image2image,0.725,0.974,0.999,1000
turboquant,3,3,T1_text2image,0.174,0.354,0.436,1000
turboquant,3,3,T2_image2text,0.311,0.553,0.658,1000
turboquant,3,3,T3_text2text,0.292,0.457,0.537,1000
turboquant,3,3,T4_image2image,0.711,0.974,0.993,1000
turboquant,3,4,T1_text2image,0.156,0.332,0.429,1000
turboquant,3,4,T2_image2text,0.298,0.525,0.631,1000
turboquant,3,4,T3_text2text,0.268,0.426,0.504,1000
turboquant,3,4,T4_image2image,0.705,0.971,0.996,1000
turboquant,4,0,T1_text2image,0.18,0.391,0.485,1000
turboquant,4,0,T2_image2text,0.356,0.609,0.715,1000
turboquant,4,0,T3_text2text,0.3,0.48,0.541,1000
turboquant,4,0,T4_image2image,0.827,0.997,1.0,1000
turboquant,4,1,T1_text2image,0.19,0.368,0.465,1000
turboquant,4,1,T2_image2text,0.366,0.603,0.705,1000
turboquant,4,1,T3_text2text,0.285,0.443,0.523,1000
turboquant,4,1,T4_image2image,0.83,0.997,0.999,1000
turboquant,4,2,T1_text2image,0.194,0.357,0.446,1000
turboquant,4,2,T2_image2text,0.355,0.592,0.696,1000
turboquant,4,2,T3_text2text,0.288,0.445,0.52,1000
turboquant,4,2,T4_image2image,0.851,0.995,0.999,1000
turboquant,4,3,T1_text2image,0.224,0.386,0.473,1000
turboquant,4,3,T2_image2text,0.377,0.621,0.722,1000
turboquant,4,3,T3_text2text,0.296,0.468,0.538,1000
turboquant,4,3,T4_image2image,0.834,0.996,1.0,1000
turboquant,4,4,T1_text2image,0.204,0.386,0.486,1000
turboquant,4,4,T2_image2text,0.373,0.601,0.709,1000
turboquant,4,4,T3_text2text,0.285,0.436,0.508,1000
turboquant,4,4,T4_image2image,0.82,0.997,1.0,1000
qjl,2,0,T1_text2image,0.074,0.174,0.232,1000
qjl,2,0,T2_image2text,0.118,0.286,0.375,1000
qjl,2,0,T3_text2text,0.281,0.458,0.525,1000
qjl,2,0,T4_image2image,0.472,0.827,0.914,1000
qjl,2,1,T1_text2image,0.082,0.161,0.225,1000
qjl,2,1,T2_image2text,0.146,0.323,0.414,1000
qjl,2,1,T3_text2text,0.259,0.425,0.493,1000
qjl,2,1,T4_image2image,0.479,0.822,0.913,1000
qjl,2,2,T1_text2image,0.068,0.168,0.233,1000
qjl,2,2,T2_image2text,0.119,0.283,0.361,1000
qjl,2,2,T3_text2text,0.267,0.42,0.488,1000
qjl,2,2,T4_image2image,0.473,0.841,0.923,1000
qjl,2,3,T1_text2image,0.068,0.172,0.248,1000
qjl,2,3,T2_image2text,0.124,0.287,0.376,1000
qjl,2,3,T3_text2text,0.274,0.434,0.516,1000
qjl,2,3,T4_image2image,0.486,0.831,0.919,1000
qjl,2,4,T1_text2image,0.063,0.161,0.228,1000
qjl,2,4,T2_image2text,0.139,0.297,0.399,1000
qjl,2,4,T3_text2text,0.25,0.42,0.491,1000
qjl,2,4,T4_image2image,0.453,0.814,0.91,1000
qjl,3,0,T1_text2image,0.074,0.174,0.232,1000
qjl,3,0,T2_image2text,0.118,0.286,0.375,1000
qjl,3,0,T3_text2text,0.281,0.458,0.525,1000
qjl,3,0,T4_image2image,0.472,0.827,0.914,1000
qjl,3,1,T1_text2image,0.082,0.161,0.225,1000
qjl,3,1,T2_image2text,0.146,0.323,0.414,1000
